month_key,product_key,beginning_inventory_qty,production_receipts_qty,demand_qty,shipped_qty,ending_inventory_qty,stockout_qty,inventory_value,warehouse_capacity_qty,days_of_supply,inventory_status
202308,201,0,0,0,0,0,0,0,172,0.0,健康
202308,202,0,0,0,0,0,0,0,126,0.0,健康
202309,101,65,0,0,0,65,0,118300,264,90.0,偏高
202309,102,65,0,0,0,65,0,144950,218,90.0,偏高
202309,201,0,0,0,0,0,0,0,172,0.0,健康
202309,202,0,0,0,0,0,0,0,126,0.0,健康
202310,101,65,188,190,190,63,0,114660,264,9.9,健康
202310,102,65,55,56,56,64,0,142720,218,34.3,健康
202310,201,0,0,0,0,0,0,0,172,0.0,健康
202310,202,0,0,0,0,0,0,0,126,0.0,健康
202311,101,63,239,241,241,61,0,111020,264,7.6,偏低
202311,102,64,60,60,60,64,0,142720,218,32.0,健康
202311,201,0,0,0,0,0,0,0,172,0.0,健康
202311,202,0,0,0,0,0,0,0,126,0.0,健康
202312,101,61,193,219,219,35,0,63700,264,4.8,偏低
202312,102,64,109,124,124,49,0,109270,218,11.9,健康
202312,201,0,40,0,0,40,0,126000,172,90.0,偏高
202312,202,0,39,0,0,39,0,148980,126,90.0,偏高
202401,101,35,72,43,43,64,0,116480,264,44.7,健康
202401,102,49,39,24,24,64,0,142720,218,80.0,偏高
202401,201,40,61,57,57,44,0,138600,172,23.2,健康
202401,202,39,47,42,42,44,0,168080,126,31.4,健康
202402,101,64,27,27,27,64,0,116480,264,71.1,偏高
202402,102,64,37,37,37,64,0,142720,218,51.9,偏高
202402,201,44,44,44,44,44,0,138600,172,30.0,健康
202402,202,44,51,51,51,44,0,168080,126,25.9,健康
202403,101,64,68,69,69,63,0,114660,264,27.4,健康
202403,102,64,10,9,9,65,0,144950,218,216.7,偏高
202403,201,44,61,61,61,44,0,138600,172,21.6,健康
202403,202,44,54,54,54,44,0,168080,126,24.4,健康
202404,101,63,2,0,0,65,0,118300,372,90.0,偏高
202404,102,65,0,0,0,65,0,144950,307,90.0,偏高
202404,201,44,190,193,193,41,0,129150,243,6.4,偏低
202404,202,44,71,71,71,44,0,168080,178,18.6,健康
202405,101,65,0,0,0,65,0,118300,372,90.0,偏高
202405,102,65,0,0,0,65,0,144950,307,90.0,偏高
202405,201,41,271,271,271,41,0,129150,243,4.5,偏低
202405,202,44,46,46,46,44,0,168080,178,28.7,健康
202406,101,65,0,0,0,65,0,118300,372,90.0,偏高
202406,102,65,0,0,0,65,0,144950,307,90.0,偏高
202406,201,41,310,311,311,40,0,126000,243,3.9,偏低
202406,202,44,87,88,88,43,0,164260,178,14.7,健康
202407,101,65,263,249,249,79,0,143780,372,9.5,健康
202407,102,65,227,211,211,81,0,180630,307,11.5,健康
202407,201,40,25,0,0,65,0,204750,243,90.0,偏高
202407,202,43,22,0,0,65,0,248300,178,90.0,偏高
202408,101,79,266,264,264,81,0,147420,372,9.2,健康
202408,102,81,236,235,235,82,0,182860,307,10.5,健康
202408,201,65,0,0,0,65,0,204750,243,90.0,偏高
202408,202,65,0,0,0,65,0,248300,178,90.0,偏高
202409,101,81,437,438,438,80,0,145600,372,5.5,偏低
202409,102,82,162,161,161,83,0,185090,307,15.5,健康
202409,201,65,0,0,0,65,0,204750,243,90.0,偏高
202409,202,65,0,0,0,65,0,248300,178,90.0,偏高
202410,101,80,232,231,231,81,0,147420,524,10.5,健康
202410,102,83,152,154,154,81,0,180630,433,15.8,健康
202410,201,65,0,0,0,65,0,204750,342,90.0,偏高
202410,202,65,0,0,0,65,0,248300,251,90.0,偏高
202411,101,81,278,280,280,79,0,143780,524,8.5,健康
202411,102,81,135,134,134,82,0,182860,433,18.4,健康
202411,201,65,0,0,0,65,0,204750,342,90.0,偏高
202411,202,65,0,0,0,65,0,248300,251,90.0,偏高
202412,101,79,358,359,359,78,0,141960,524,6.5,偏低
202412,102,82,177,177,177,82,0,182860,433,13.9,健康
202412,201,65,0,0,0,65,0,204750,342,90.0,偏高
202412,202,65,0,0,0,65,0,248300,251,90.0,偏高
202501,101,78,353,315,315,116,0,211120,626,11.0,健康
202501,102,82,280,248,248,114,0,254220,517,13.8,健康
202501,201,65,0,0,0,65,0,204750,408,90.0,偏高
202501,202,65,0,0,0,65,0,248300,299,90.0,偏高
202502,101,116,336,336,336,116,0,211120,626,10.4,健康
202502,102,114,314,315,315,113,0,251990,517,10.8,健康
202502,201,65,0,0,0,65,0,204750,408,90.0,偏高
202502,202,65,0,0,0,65,0,248300,299,90.0,偏高
202503,101,116,404,469,469,51,0,92820,626,3.3,偏低
202503,102,113,282,321,321,74,0,165020,517,6.9,偏低
202503,201,65,0,0,0,65,0,204750,408,90.0,偏高
202503,202,65,0,0,0,65,0,248300,299,90.0,偏高
202504,101,51,601,575,575,77,0,140140,626,4.0,偏低
202504,102,74,298,291,291,81,0,180630,517,8.4,健康
202504,201,65,0,0,0,65,0,204750,408,90.0,偏高
202504,202,65,0,0,0,65,0,248300,299,90.0,偏高
202505,101,77,341,337,337,81,0,147420,626,7.2,偏低
202505,102,81,443,449,449,75,0,167250,517,5.0,偏低
202505,201,65,0,0,0,65,0,204750,408,90.0,偏高
202505,202,65,0,0,0,65,0,248300,299,90.0,偏高
202506,101,81,527,564,564,44,0,80080,626,2.3,偏低
202506,102,75,434,456,456,53,0,118190,517,3.5,偏低
202506,201,65,0,0,0,65,0,204750,408,90.0,偏高
202506,202,65,0,0,0,65,0,248300,299,90.0,偏高
