order_id,order_date_key,order_date,promised_date,shipped_date,product_key,channel_key,region_key,ordered_qty,shipped_qty,unit_price,gross_sales,discount_amount,net_sales,unit_cost,cogs,gross_profit,delivery_days,on_time_flag,full_fill_flag,order_status,payment_term_days
SO00049,202310,2023-10-08,2023-10-17,2023-10-17,101,2,2,40,40,2816.43,116141.24,3484.24,112657.0,1852.83,74113.2,38543.8,9,1,1,Completed,15
SO00050,202310,2023-10-10,2023-10-17,2023-10-17,101,3,3,25,25,2832.92,77827.47,7004.47,70823.0,1857.91,46447.84,24375.16,7,1,1,Completed,30
SO00051,202310,2023-10-13,2023-10-22,2023-10-22,101,3,1,26,26,2788.62,79674.73,7170.73,72504.0,1836.22,47741.61,24762.39,9,1,1,Completed,30
SO00052,202310,2023-10-21,2023-10-29,2023-10-29,101,3,2,20,20,2771.2,60905.49,5481.49,55424.0,1862.15,37242.98,18181.02,8,1,1,Completed,30
SO00053,202310,2023-10-22,2023-10-30,2023-11-04,102,1,1,32,32,2901.25,92840.0,0.0,92840.0,2241.34,71722.85,21117.15,13,0,1,Completed,0
SO00054,202310,2023-10-24,2023-11-02,2023-11-02,101,2,3,52,52,2615.9,140234.02,4207.02,136027.0,1842.43,95806.2,40220.8,9,1,1,Completed,15
SO00055,202310,2023-10-22,2023-10-28,2023-10-28,102,3,4,24,24,2769.29,73036.26,6573.26,66463.0,2198.89,52773.3,13689.7,6,1,1,Completed,30
SO00056,202310,2023-10-23,2023-11-02,2023-11-02,101,2,1,27,27,2597.07,72289.69,2168.69,70121.0,1842.5,49747.51,20373.49,10,1,1,Completed,15
SO00057,202311,2023-11-11,2023-11-20,2023-11-20,101,3,4,26,26,2659.31,75980.22,6838.22,69142.0,1805.98,46955.6,22186.4,9,1,1,Completed,30
SO00058,202311,2023-11-23,2023-11-29,2023-11-29,102,2,1,31,31,2589.29,82750.52,2482.52,80268.0,1751.52,54297.1,25970.9,6,1,1,Completed,15
SO00059,202311,2023-11-16,2023-11-22,2023-11-22,101,3,3,58,58,2828.05,180249.45,16222.45,164027.0,1809.93,104976.15,59050.85,6,1,1,Completed,30
SO00060,202311,2023-11-08,2023-11-16,2023-11-16,101,2,1,32,32,2832.56,93445.36,2803.36,90642.0,1808.78,57880.84,32761.16,8,1,1,Completed,15
SO00061,202311,2023-11-08,2023-11-15,2023-11-15,102,3,2,29,29,2664.41,84909.89,7641.89,77268.0,2230.61,64687.59,12580.41,7,1,1,Completed,30
SO00062,202311,2023-11-09,2023-11-16,2023-11-16,101,1,2,40,40,2887.07,115483.0,0.0,115483.0,1841.19,73647.56,41835.44,7,1,1,Completed,0
SO00063,202311,2023-11-23,2023-12-04,2023-12-04,101,2,3,28,28,2737.43,79018.56,2370.56,76648.0,1868.2,52309.69,24338.31,11,1,1,Completed,15
SO00064,202311,2023-11-05,2023-11-16,2023-11-16,101,1,4,57,57,2731.86,155716.0,0.0,155716.0,1838.68,104804.88,50911.12,11,1,1,Completed,0
SO00065,202312,2023-12-08,2023-12-14,2023-12-14,102,3,1,63,63,2694.89,186569.23,16791.23,169778.0,2289.48,144237.55,25540.45,6,1,1,Completed,30
SO00066,202312,2023-12-13,2023-12-20,2023-12-20,101,2,3,30,30,2932.67,90701.03,2721.03,87980.0,1842.26,55267.65,32712.35,7,1,1,Completed,15
SO00067,202312,2023-12-19,2023-12-31,2023-12-31,102,1,2,30,30,2682.87,80486.0,0.0,80486.0,2247.73,67431.86,13054.14,12,1,1,Completed,0
SO00068,202312,2023-12-13,2023-12-20,2023-12-20,101,2,4,34,34,2641.0,92571.13,2777.13,89794.0,1868.05,63513.63,26280.37,7,1,1,Completed,15
SO00069,202312,2023-12-06,2023-12-18,2023-12-18,102,3,1,31,31,2780.71,94727.47,8525.47,86202.0,2259.61,70048.03,16153.97,12,1,1,Completed,30
SO00070,202312,2023-12-18,2023-12-25,2023-12-25,101,3,1,62,62,2708.94,184564.84,16610.84,167954.0,1793.75,111212.43,56741.57,7,1,1,Completed,30
SO00071,202312,2023-12-16,2023-12-27,2023-12-30,101,3,1,51,51,2988.51,167487.91,15073.91,152414.0,1802.96,91951.08,60462.92,14,0,1,Completed,30
SO00072,202312,2023-12-09,2023-12-17,2023-12-17,101,2,2,42,42,2603.31,112720.62,3381.62,109339.0,1869.02,78498.77,30840.23,8,1,1,Completed,15
SO00073,202401,2024-01-13,2024-01-19,2024-01-19,102,2,2,7,7,2564.86,18509.28,555.28,17954.0,1871.99,13103.9,4850.1,6,1,1,Completed,15
SO00074,202401,2024-01-08,2024-01-18,2024-01-18,101,3,4,5,5,2613.8,14361.54,1292.54,13069.0,1868.96,9344.8,3724.2,10,1,1,Completed,30
SO00075,202401,2024-01-14,2024-01-24,2024-01-24,102,1,1,11,11,2881.36,31695.0,0.0,31695.0,2296.26,25258.83,6436.17,10,1,1,Completed,0
SO00076,202401,2024-01-09,2024-01-19,2024-01-19,101,1,3,11,11,2817.91,30997.0,0.0,30997.0,1811.08,19921.92,11075.08,10,1,1,Completed,0
SO00077,202401,2024-01-20,2024-01-30,2024-01-30,101,2,4,8,8,2600.12,21444.33,643.33,20801.0,1814.69,14517.52,6283.48,10,1,1,Completed,15
SO00078,202401,2024-01-11,2024-01-18,2024-01-18,102,2,1,6,6,2912.5,18015.46,540.46,17475.0,2228.32,13369.94,4105.06,7,1,1,Completed,15
SO00079,202401,2024-01-06,2024-01-13,2024-01-13,101,2,3,9,9,2731.22,25341.24,760.24,24581.0,1798.02,16182.15,8398.85,7,1,1,Completed,15
SO00080,202401,2024-01-05,2024-01-11,2024-01-11,101,2,4,10,10,2640.1,27217.53,816.53,26401.0,1856.23,18562.32,7838.68,6,1,1,Completed,15
SO00081,202402,2024-02-15,2024-02-23,2024-02-23,102,1,4,6,6,2686.83,16121.0,0.0,16121.0,2231.4,13388.37,2732.63,8,1,1,Completed,0
SO00082,202402,2024-02-10,2024-02-19,2024-02-19,102,1,1,5,5,2722.0,13610.0,0.0,13610.0,2209.65,11048.25,2561.75,9,1,1,Completed,0
SO00083,202402,2024-02-03,2024-02-13,2024-02-13,102,3,1,9,9,2926.89,28947.25,2605.25,26342.0,2207.32,19865.9,6476.1,10,1,1,Completed,30
SO00084,202402,2024-02-17,2024-02-23,2024-02-23,101,3,3,6,6,2932.17,19332.97,1739.97,17593.0,1849.03,11094.21,6498.79,6,1,1,Completed,30
SO00085,202402,2024-02-22,2024-03-02,2024-03-02,101,2,1,10,10,2639.6,27212.37,816.37,26396.0,1820.04,18200.37,8195.63,9,1,1,Completed,15
SO00086,202402,2024-02-03,2024-02-11,2024-02-11,102,3,3,7,7,2640.14,20308.79,1827.79,18481.0,1920.82,13445.75,5035.25,8,1,1,Completed,30
SO00087,202402,2024-02-20,2024-02-27,2024-02-27,101,3,1,11,11,2607.82,31523.08,2837.08,28686.0,1826.7,20093.75,8592.25,7,1,1,Completed,30
SO00088,202402,2024-02-18,2024-02-28,2024-02-28,102,1,2,10,10,2924.8,29248.0,0.0,29248.0,2234.13,22341.32,6906.68,10,1,1,Completed,0
SO00089,202403,2024-03-11,2024-03-23,2024-03-23,101,3,2,14,14,2813.29,43281.32,3895.32,39386.0,1807.41,25303.77,14082.23,12,1,1,Completed,30
SO00090,202403,2024-03-09,2024-03-15,2024-03-15,101,2,4,8,8,2917.25,24059.79,721.79,23338.0,1813.74,14509.94,8828.06,6,1,1,Completed,15
SO00091,202403,2024-03-07,2024-03-18,2024-03-18,101,3,4,6,6,2620.83,17280.22,1555.22,15725.0,1829.77,10978.65,4746.35,11,1,1,Completed,30
SO00092,202403,2024-03-09,2024-03-17,2024-03-17,101,2,2,15,15,2771.47,42857.73,1285.73,41572.0,1869.84,28047.58,13524.42,8,1,1,Completed,15
SO00093,202403,2024-03-18,2024-03-30,2024-03-30,101,3,1,9,9,2579.89,25515.38,2296.38,23219.0,1821.68,16395.09,6823.91,12,1,1,Completed,30
SO00094,202403,2024-03-06,2024-03-15,2024-03-15,101,2,1,10,10,2916.5,30067.01,902.01,29165.0,1802.66,18026.65,11138.35,9,1,1,Completed,15
SO00095,202403,2024-03-12,2024-03-22,2024-03-22,101,1,2,7,7,2610.71,18275.0,0.0,18275.0,1812.32,12686.26,5588.74,10,1,1,Completed,0
SO00096,202403,2024-03-11,2024-03-23,2024-03-23,102,1,3,9,9,2574.44,23170.0,0.0,23170.0,1730.76,15576.88,7593.12,12,1,1,Completed,0
SO00097,202401,2024-01-03,2024-01-13,2024-01-13,201,3,4,11,11,4294.82,51915.38,4672.38,47243.0,3146.45,34610.9,12632.1,10,1,1,Completed,30
SO00098,202401,2024-01-15,2024-01-21,2024-01-21,201,3,2,10,10,4449.4,48894.51,4400.51,44494.0,3173.76,31737.55,12756.45,6,1,1,Completed,30
SO00099,202401,2024-01-13,2024-01-19,2024-01-19,201,3,4,17,17,4745.41,88650.55,7978.55,80672.0,3185.95,54161.23,26510.77,6,1,1,Completed,30
SO00100,202401,2024-01-18,2024-01-30,2024-01-30,201,3,1,19,19,4696.89,98067.03,8826.03,89241.0,3135.82,59580.66,29660.34,12,1,1,Completed,30
SO00101,202401,2024-01-12,2024-01-22,2024-01-22,202,3,4,8,8,4392.75,38617.58,3475.58,35142.0,2963.01,23704.05,11437.95,10,1,1,Completed,30
SO00102,202401,2024-01-04,2024-01-10,2024-01-10,202,1,1,10,10,4673.2,46732.0,0.0,46732.0,3901.2,39011.97,7720.03,6,1,1,Completed,0
SO00103,202401,2024-01-22,2024-02-02,2024-02-05,202,3,1,11,11,4384.82,53003.3,4770.3,48233.0,3151.45,34665.99,13567.01,14,0,1,Completed,30
SO00104,202401,2024-01-08,2024-01-14,2024-01-14,202,3,3,13,13,4775.69,68224.18,6140.18,62084.0,3911.15,50844.9,11239.1,6,1,1,Completed,30
SO00105,202402,2024-02-07,2024-02-17,2024-02-17,202,1,2,12,12,4486.83,53842.0,0.0,53842.0,3826.46,45917.5,7924.5,10,1,1,Completed,0
SO00106,202402,2024-02-13,2024-02-23,2024-02-23,202,1,3,15,15,4712.13,70682.0,0.0,70682.0,3823.74,57356.03,13325.97,10,1,1,Completed,0
SO00107,202402,2024-02-10,2024-02-19,2024-02-20,201,1,3,9,9,4272.22,38450.0,0.0,38450.0,3134.63,28211.63,10238.37,10,0,1,Completed,0
SO00108,202402,2024-02-24,2024-03-05,2024-03-05,201,1,1,12,12,4769.67,57236.0,0.0,57236.0,3198.79,38385.47,18850.53,10,1,1,Completed,0
SO00109,202402,2024-02-17,2024-02-27,2024-02-27,202,3,3,13,13,4556.54,65093.41,5858.41,59235.0,3788.1,49245.33,9989.67,10,1,1,Completed,30
SO00110,202402,2024-02-17,2024-02-24,2024-02-25,201,2,4,13,13,4703.69,63039.18,1891.18,61148.0,3102.89,40337.58,20810.42,8,0,1,Completed,15
SO00111,202402,2024-02-10,2024-02-22,2024-02-22,201,1,4,10,10,4387.1,43871.0,0.0,43871.0,3198.08,31980.78,11890.22,12,1,1,Completed,0
SO00112,202402,2024-02-21,2024-02-29,2024-02-29,202,3,1,11,11,4842.36,58534.07,5268.07,53266.0,3822.6,42048.61,11217.39,8,1,1,Completed,30
SO00113,202403,2024-03-15,2024-03-24,2024-03-27,201,1,3,13,13,4748.62,61732.0,0.0,61732.0,3235.27,42058.56,19673.44,12,0,1,Completed,0
SO00114,202403,2024-03-04,2024-03-11,2024-03-11,201,2,4,11,11,4478.27,50784.54,1523.54,49261.0,3161.4,34775.45,14485.55,7,1,1,Completed,15
SO00115,202403,2024-03-23,2024-04-04,2024-04-04,202,3,2,11,11,4447.82,53764.84,4838.84,48926.0,3808.32,41891.5,7034.5,12,1,1,Completed,30
SO00116,202403,2024-03-06,2024-03-17,2024-03-17,202,1,1,12,12,4859.25,58311.0,0.0,58311.0,3913.65,46963.77,11347.23,11,1,1,Completed,0
SO00117,202403,2024-03-03,2024-03-09,2024-03-09,202,1,4,13,13,4885.77,63515.0,0.0,63515.0,3819.0,49647.06,13867.94,6,1,1,Completed,0
SO00118,202403,2024-03-22,2024-03-28,2024-03-28,202,3,2,18,18,4490.5,88823.08,7994.08,80829.0,3849.29,69287.24,11541.76,6,1,1,Completed,30
SO00119,202403,2024-03-20,2024-04-01,2024-04-05,201,2,2,15,15,4380.13,67734.02,2032.02,65702.0,3135.38,47030.75,18671.25,16,0,1,Completed,15
SO00120,202403,2024-03-24,2024-03-31,2024-03-31,201,3,4,22,22,4643.32,112256.04,10103.04,102153.0,3155.65,69424.31,32728.69,7,1,1,Completed,30
SO00121,202404,2024-04-14,2024-04-25,2024-04-25,201,3,2,36,36,4913.06,194362.64,17492.64,176870.0,3239.61,116625.78,60244.22,11,1,1,Completed,30
SO00122,202404,2024-04-14,2024-04-23,2024-04-24,202,3,4,47,47,4399.7,227237.36,20451.36,206786.0,3188.2,149845.5,56940.5,10,0,1,Completed,30
SO00123,202404,2024-04-20,2024-05-01,2024-05-01,201,3,2,16,16,4313.44,75840.66,6825.66,69015.0,3152.94,50447.11,18567.89,11,1,1,Completed,30
SO00124,202404,2024-04-24,2024-05-05,2024-05-05,201,2,3,22,22,4421.91,100290.72,3008.72,97282.0,3230.86,71078.84,26203.16,11,1,1,Completed,15
SO00125,202404,2024-04-13,2024-04-25,2024-04-25,201,1,1,41,41,4873.56,199816.0,0.0,199816.0,3179.23,130348.61,69467.39,12,1,1,Completed,0
SO00126,202404,2024-04-05,2024-04-11,2024-04-11,201,3,1,32,32,4722.03,166049.45,14944.45,151105.0,3167.52,101360.73,49744.27,6,1,1,Completed,30
SO00127,202404,2024-04-22,2024-05-03,2024-05-03,202,1,1,24,24,4425.38,106209.0,0.0,106209.0,3191.52,76596.41,29612.59,11,1,1,Completed,0
SO00128,202404,2024-04-05,2024-04-13,2024-04-13,201,3,2,46,46,4478.96,226408.79,20376.79,206032.0,3154.16,145091.29,60940.71,8,1,1,Completed,30
SO00129,202405,2024-05-21,2024-05-27,2024-05-27,201,2,2,53,53,4615.32,252177.32,7565.32,244612.0,3142.81,166568.75,78043.25,6,1,1,Completed,15
SO00130,202405,2024-05-18,2024-05-27,2024-05-27,201,3,2,25,25,4750.84,130517.58,11746.58,118771.0,3167.96,79199.11,39571.89,9,1,1,Completed,30
SO00131,202405,2024-05-20,2024-05-29,2024-05-29,201,3,3,26,26,4546.15,129890.11,11690.11,118200.0,3232.27,84038.9,34161.1,9,1,1,Completed,30
SO00132,202405,2024-05-08,2024-05-20,2024-05-20,201,3,1,41,41,4509.0,203152.75,18283.75,184869.0,3214.02,131775.02,53093.98,12,1,1,Completed,30
SO00133,202405,2024-05-15,2024-05-26,2024-05-26,201,1,2,43,43,4414.84,189838.0,0.0,189838.0,3115.16,133952.06,55885.94,11,1,1,Completed,0
SO00134,202405,2024-05-17,2024-05-24,2024-05-24,201,3,1,30,30,4860.57,160238.46,14421.46,145817.0,3223.93,96717.89,49099.11,7,1,1,Completed,30
SO00135,202405,2024-05-24,2024-06-04,2024-06-04,201,2,3,53,53,4657.57,254485.57,7634.57,246851.0,3217.51,170527.91,76323.09,11,1,1,Completed,15
SO00136,202405,2024-05-21,2024-06-01,2024-06-01,202,3,2,46,46,4457.54,225326.37,20279.37,205047.0,3145.5,144692.95,60354.05,11,1,1,Completed,30
SO00137,202406,2024-06-14,2024-06-23,2024-06-23,202,2,1,49,49,4819.16,243442.27,7303.27,236139.0,3809.27,186654.04,49484.96,9,1,1,Completed,15
SO00138,202406,2024-06-16,2024-06-26,2024-06-26,201,1,3,22,22,4352.86,95763.0,0.0,95763.0,3159.16,69501.5,26261.5,10,1,1,Completed,0
SO00139,202406,2024-06-10,2024-06-20,2024-06-20,201,1,1,60,60,4811.77,288706.0,0.0,288706.0,3215.34,192920.28,95785.72,10,1,1,Completed,0
SO00140,202406,2024-06-07,2024-06-16,2024-06-16,201,3,3,24,24,4332.08,114252.75,10282.75,103970.0,3107.4,74577.51,29392.49,9,1,1,Completed,30
SO00141,202406,2024-06-07,2024-06-18,2024-06-18,202,1,1,39,39,4793.82,186959.0,0.0,186959.0,3865.85,150768.08,36190.92,11,1,1,Completed,0
SO00142,202406,2024-06-21,2024-06-29,2024-06-29,201,3,3,59,59,4256.19,275950.55,24835.55,251115.0,3129.11,184617.62,66497.38,8,1,1,Completed,30
SO00143,202406,2024-06-06,2024-06-18,2024-06-18,201,1,1,30,30,4383.6,131508.0,0.0,131508.0,3124.38,93731.5,37776.5,12,1,1,Completed,0
SO00144,202406,2024-06-23,2024-07-01,2024-07-01,201,3,1,39,39,4640.59,198882.42,17899.42,180983.0,3143.61,122600.86,58382.14,8,1,1,Completed,30
SO00145,202406,2024-06-20,2024-07-01,2024-07-04,201,3,2,38,38,4836.0,201942.86,18174.86,183768.0,3212.43,122072.39,61695.61,14,0,1,Completed,30
SO00146,202406,2024-06-12,2024-06-23,2024-06-23,201,1,1,39,39,4460.74,173969.0,0.0,173969.0,3235.05,126166.78,47802.22,11,1,1,Completed,0
SO00147,202407,2024-07-20,2024-07-27,2024-07-27,101,1,1,57,57,2875.12,163882.0,0.0,163882.0,1799.81,102589.12,61292.88,7,1,1,Completed,0
SO00148,202407,2024-07-14,2024-07-26,2024-07-26,101,2,1,31,31,2624.58,83878.35,2516.35,81362.0,1795.53,55661.45,25700.55,12,1,1,Completed,15
SO00149,202407,2024-07-13,2024-07-23,2024-07-23,102,3,1,49,49,2781.84,149791.21,13481.21,136310.0,2220.88,108823.19,27486.81,10,1,1,Completed,30
SO00150,202407,2024-07-22,2024-08-02,2024-08-02,101,1,4,56,56,2803.61,157002.0,0.0,157002.0,1855.43,103904.33,53097.67,11,1,1,Completed,0
SO00151,202407,2024-07-22,2024-07-31,2024-07-31,102,3,1,52,52,2681.33,153218.68,13789.68,139429.0,2285.39,118840.02,20588.98,9,1,1,Completed,30
SO00152,202407,2024-07-21,2024-07-28,2024-07-28,101,2,4,52,52,2830.04,151713.4,4551.4,147162.0,1827.45,95027.55,52134.45,7,1,1,Completed,15
SO00153,202407,2024-07-03,2024-07-14,2024-07-14,102,3,2,44,44,2648.41,128054.95,11524.95,116530.0,1850.63,81427.84,35102.16,11,1,1,Completed,30
SO00154,202407,2024-07-12,2024-07-20,2024-07-20,101,3,1,24,24,2650.83,69912.09,6292.09,63620.0,1814.77,43554.58,20065.42,8,1,1,Completed,30
SO00155,202407,2024-07-05,2024-07-12,2024-07-12,102,3,1,42,42,2860.31,132014.29,11881.29,120133.0,2220.42,93257.71,26875.29,7,1,1,Completed,30
SO00156,202407,2024-07-10,2024-07-21,2024-07-21,101,1,2,29,29,2532.24,73435.0,0.0,73435.0,1800.88,52225.57,21209.43,11,1,1,Completed,0
SO00157,202407,2024-07-21,2024-07-30,2024-07-30,102,3,3,24,24,2828.33,74593.41,6713.41,67880.0,2225.42,53410.1,14469.9,9,1,1,Completed,30
SO00158,202408,2024-08-13,2024-08-21,2024-08-26,102,2,4,50,50,2931.16,151090.72,4532.72,146558.0,2268.15,113407.37,33150.63,13,0,1,Completed,15
SO00159,202408,2024-08-07,2024-08-16,2024-08-16,101,2,1,26,26,2592.19,69481.44,2084.44,67397.0,1848.64,48064.7,19332.3,9,1,1,Completed,15
SO00160,202408,2024-08-21,2024-08-29,2024-08-29,101,1,1,41,41,2661.37,109116.0,0.0,109116.0,1820.65,74646.74,34469.26,8,1,1,Completed,0
