cashflow_id,date_key,transaction_date,quarter_seq,flow_direction,flow_category,flow_category_cn,amount,signed_amount,control_source
CF0037,202204,2022-04-18,2,Outflow,market_and_initial_product,市场推广与首批产品,138382,-138382,practicum_reconciled
CF0038,202205,2022-05-18,2,Outflow,market_and_initial_product,市场推广与首批产品,230631,-230631,practicum_reconciled
CF0039,202206,2022-06-18,2,Outflow,market_and_initial_product,市场推广与首批产品,230987,-230987,practicum_reconciled
CF0040,202204,2022-04-18,2,Outflow,raw_material_purchase,原材料采购,445268,-445268,practicum_reconciled
CF0041,202205,2022-05-18,2,Outflow,raw_material_purchase,原材料采购,503303,-503303,practicum_reconciled
CF0042,202206,2022-06-18,2,Outflow,raw_material_purchase,原材料采购,611429,-611429,practicum_reconciled
CF0043,202207,2022-07-18,3,Inflow,interest_income,存款利息,2460,2460,practicum_reconciled
CF0044,202208,2022-08-18,3,Inflow,interest_income,存款利息,2963,2963,practicum_reconciled
CF0045,202209,2022-09-18,3,Inflow,interest_income,存款利息,2841,2841,practicum_reconciled
CF0046,202207,2022-07-18,3,Outflow,labor_cost,人员成本,24810,-24810,practicum_reconciled
CF0047,202208,2022-08-18,3,Outflow,labor_cost,人员成本,34523,-34523,practicum_reconciled
CF0048,202209,2022-09-18,3,Outflow,labor_cost,人员成本,40667,-40667,practicum_reconciled
CF0049,202207,2022-07-18,3,Outflow,staff_adjustment,人员调整,62228,-62228,practicum_reconciled
CF0050,202208,2022-08-18,3,Outflow,staff_adjustment,人员调整,55354,-55354,practicum_reconciled
CF0051,202209,2022-09-18,3,Outflow,staff_adjustment,人员调整,82418,-82418,practicum_reconciled
CF0052,202207,2022-07-18,3,Outflow,loan_interest_penalty,贷款利息及罚金,35523,-35523,practicum_reconciled
CF0053,202208,2022-08-18,3,Outflow,loan_interest_penalty,贷款利息及罚金,34652,-34652,practicum_reconciled
CF0054,202209,2022-09-18,3,Outflow,loan_interest_penalty,贷款利息及罚金,39825,-39825,practicum_reconciled
CF0055,202301,2023-01-18,5,Inflow,interest_income,存款利息,914,914,practicum_reconciled
CF0056,202302,2023-02-18,5,Inflow,interest_income,存款利息,1052,1052,practicum_reconciled
CF0057,202303,2023-03-18,5,Inflow,interest_income,存款利息,1706,1706,practicum_reconciled
CF0058,202301,2023-01-18,5,Inflow,sales_receipts,销售回款,549427,549427,practicum_reconciled
CF0059,202302,2023-02-18,5,Inflow,sales_receipts,销售回款,609877,609877,practicum_reconciled
CF0060,202303,2023-03-18,5,Inflow,sales_receipts,销售回款,643196,643196,practicum_reconciled
CF0061,202301,2023-01-18,5,Outflow,productive_fixed_assets,生产性固定资产,10130,-10130,practicum_reconciled
CF0062,202302,2023-02-18,5,Outflow,productive_fixed_assets,生产性固定资产,16795,-16795,practicum_reconciled
CF0063,202303,2023-03-18,5,Outflow,productive_fixed_assets,生产性固定资产,17382,-17382,practicum_reconciled
CF0064,202301,2023-01-18,5,Outflow,raw_material_warehouse,原材料仓储,3895,-3895,practicum_reconciled
CF0065,202302,2023-02-18,5,Outflow,raw_material_warehouse,原材料仓储,4331,-4331,practicum_reconciled
CF0066,202303,2023-03-18,5,Outflow,raw_material_warehouse,原材料仓储,4674,-4674,practicum_reconciled
CF0067,202301,2023-01-18,5,Outflow,logistics,物流运输,22560,-22560,practicum_reconciled
CF0068,202302,2023-02-18,5,Outflow,logistics,物流运输,33873,-33873,practicum_reconciled
CF0069,202303,2023-03-18,5,Outflow,logistics,物流运输,42567,-42567,practicum_reconciled
CF0070,202301,2023-01-18,5,Outflow,raw_material_purchase,原材料采购,434433,-434433,practicum_reconciled
CF0071,202302,2023-02-18,5,Outflow,raw_material_purchase,原材料采购,519386,-519386,practicum_reconciled
CF0072,202303,2023-03-18,5,Outflow,raw_material_purchase,原材料采购,666181,-666181,practicum_reconciled
CF0073,202304,2023-04-18,6,Inflow,interest_income,存款利息,671,671,practicum_reconciled
CF0074,202305,2023-05-18,6,Inflow,interest_income,存款利息,766,766,practicum_reconciled
CF0075,202306,2023-06-18,6,Inflow,interest_income,存款利息,878,878,practicum_reconciled
CF0076,202304,2023-04-18,6,Inflow,sales_receipts,销售回款,380626,380626,practicum_reconciled
CF0077,202305,2023-05-18,6,Inflow,sales_receipts,销售回款,425073,425073,practicum_reconciled
CF0078,202306,2023-06-18,6,Inflow,sales_receipts,销售回款,491701,491701,practicum_reconciled
CF0079,202304,2023-04-18,6,Inflow,financing_in,融资及注资,469092,469092,practicum_reconciled
CF0080,202305,2023-05-18,6,Inflow,financing_in,融资及注资,618440,618440,practicum_reconciled
CF0081,202306,2023-06-18,6,Inflow,financing_in,融资及注资,912468,912468,practicum_reconciled
CF0082,202304,2023-04-18,6,Outflow,labor_cost,人员成本,118115,-118115,practicum_reconciled
CF0083,202305,2023-05-18,6,Outflow,labor_cost,人员成本,122173,-122173,practicum_reconciled
CF0084,202306,2023-06-18,6,Outflow,labor_cost,人员成本,167712,-167712,practicum_reconciled
CF0085,202304,2023-04-18,6,Outflow,raw_material_warehouse,原材料仓储,2555,-2555,practicum_reconciled
CF0086,202305,2023-05-18,6,Outflow,raw_material_warehouse,原材料仓储,2511,-2511,practicum_reconciled
CF0087,202306,2023-06-18,6,Outflow,raw_material_warehouse,原材料仓储,2934,-2934,practicum_reconciled
CF0088,202304,2023-04-18,6,Outflow,productive_fixed_assets,生产性固定资产,540,-540,practicum_reconciled
CF0089,202305,2023-05-18,6,Outflow,productive_fixed_assets,生产性固定资产,643,-643,practicum_reconciled
CF0090,202306,2023-06-18,6,Outflow,productive_fixed_assets,生产性固定资产,817,-817,practicum_reconciled
CF0091,202304,2023-04-18,6,Outflow,raw_material_purchase,原材料采购,759199,-759199,practicum_reconciled
CF0092,202305,2023-05-18,6,Outflow,raw_material_purchase,原材料采购,761583,-761583,practicum_reconciled
CF0093,202306,2023-06-18,6,Outflow,raw_material_purchase,原材料采购,879218,-879218,practicum_reconciled
CF0094,202304,2023-04-18,6,Outflow,r_and_d,研发投入,72955,-72955,practicum_reconciled
CF0095,202305,2023-05-18,6,Outflow,r_and_d,研发投入,102017,-102017,practicum_reconciled
CF0096,202306,2023-06-18,6,Outflow,r_and_d,研发投入,125028,-125028,practicum_reconciled
CF0097,202307,2023-07-18,7,Inflow,interest_income,存款利息,1272,1272,practicum_reconciled
CF0098,202308,2023-08-18,7,Inflow,interest_income,存款利息,1493,1493,practicum_reconciled
CF0099,202309,2023-09-18,7,Inflow,interest_income,存款利息,2458,2458,practicum_reconciled
CF0100,202307,2023-07-18,7,Inflow,financing_in,融资及注资,49135,49135,practicum_reconciled
CF0101,202308,2023-08-18,7,Inflow,financing_in,融资及注资,66853,66853,practicum_reconciled
CF0102,202309,2023-09-18,7,Inflow,financing_in,融资及注资,84012,84012,practicum_reconciled
CF0103,202307,2023-07-18,7,Outflow,productive_fixed_assets,生产性固定资产,135999,-135999,practicum_reconciled
CF0104,202308,2023-08-18,7,Outflow,productive_fixed_assets,生产性固定资产,161545,-161545,practicum_reconciled
CF0105,202309,2023-09-18,7,Outflow,productive_fixed_assets,生产性固定资产,162456,-162456,practicum_reconciled
CF0106,202307,2023-07-18,7,Outflow,logistics,物流运输,2228,-2228,practicum_reconciled
CF0107,202308,2023-08-18,7,Outflow,logistics,物流运输,3500,-3500,practicum_reconciled
CF0108,202309,2023-09-18,7,Outflow,logistics,物流运输,3272,-3272,practicum_reconciled
CF0109,202310,2023-10-18,8,Inflow,interest_income,存款利息,254,254,practicum_reconciled
CF0110,202311,2023-11-18,8,Inflow,interest_income,存款利息,367,367,practicum_reconciled
CF0111,202312,2023-12-18,8,Inflow,interest_income,存款利息,381,381,practicum_reconciled
CF0112,202310,2023-10-18,8,Inflow,sales_receipts,销售回款,676859,676859,practicum_reconciled
CF0113,202311,2023-11-18,8,Inflow,sales_receipts,销售回款,829194,829194,practicum_reconciled
CF0114,202312,2023-12-18,8,Inflow,sales_receipts,销售回款,943947,943947,practicum_reconciled
CF0115,202310,2023-10-18,8,Outflow,loan_interest_penalty,贷款利息及罚金,1077,-1077,practicum_reconciled
CF0116,202311,2023-11-18,8,Outflow,loan_interest_penalty,贷款利息及罚金,1366,-1366,practicum_reconciled
CF0117,202312,2023-12-18,8,Outflow,loan_interest_penalty,贷款利息及罚金,1557,-1557,practicum_reconciled
CF0118,202310,2023-10-18,8,Outflow,loan_principal_repayment,偿还贷款本金,63762,-63762,practicum_reconciled
CF0119,202311,2023-11-18,8,Outflow,loan_principal_repayment,偿还贷款本金,61423,-61423,practicum_reconciled
CF0120,202312,2023-12-18,8,Outflow,loan_principal_repayment,偿还贷款本金,74815,-74815,practicum_reconciled
CF0121,202310,2023-10-18,8,Outflow,raw_material_purchase,原材料采购,663467,-663467,practicum_reconciled
CF0122,202311,2023-11-18,8,Outflow,raw_material_purchase,原材料采购,624644,-624644,practicum_reconciled
CF0123,202312,2023-12-18,8,Outflow,raw_material_purchase,原材料采购,850289,-850289,practicum_reconciled
CF0124,202310,2023-10-18,8,Outflow,logistics,物流运输,2056,-2056,practicum_reconciled
CF0125,202311,2023-11-18,8,Outflow,logistics,物流运输,2735,-2735,practicum_reconciled
CF0126,202312,2023-12-18,8,Outflow,logistics,物流运输,3459,-3459,practicum_reconciled
CF0127,202401,2024-01-18,9,Inflow,interest_income,存款利息,576,576,practicum_reconciled
CF0128,202402,2024-02-18,9,Inflow,interest_income,存款利息,1002,1002,practicum_reconciled
CF0129,202403,2024-03-18,9,Inflow,interest_income,存款利息,1030,1030,practicum_reconciled
CF0130,202401,2024-01-18,9,Inflow,sales_receipts,销售回款,636814,636814,practicum_reconciled
CF0131,202402,2024-02-18,9,Inflow,sales_receipts,销售回款,614207,614207,practicum_reconciled
CF0132,202403,2024-03-18,9,Inflow,sales_receipts,销售回款,744279,744279,practicum_reconciled
CF0133,202401,2024-01-18,9,Outflow,raw_material_purchase,原材料采购,565715,-565715,practicum_reconciled
CF0134,202402,2024-02-18,9,Outflow,raw_material_purchase,原材料采购,486232,-486232,practicum_reconciled
CF0135,202403,2024-03-18,9,Outflow,raw_material_purchase,原材料采购,748053,-748053,practicum_reconciled
CF0136,202401,2024-01-18,9,Outflow,logistics,物流运输,3430,-3430,practicum_reconciled
CF0137,202402,2024-02-18,9,Outflow,logistics,物流运输,4626,-4626,practicum_reconciled
CF0138,202403,2024-03-18,9,Outflow,logistics,物流运输,5944,-5944,practicum_reconciled
CF0139,202401,2024-01-18,9,Outflow,r_and_d,研发投入,79717,-79717,practicum_reconciled
CF0140,202402,2024-02-18,9,Outflow,r_and_d,研发投入,93796,-93796,practicum_reconciled
CF0141,202403,2024-03-18,9,Outflow,r_and_d,研发投入,126487,-126487,practicum_reconciled
CF0142,202404,2024-04-18,10,Inflow,interest_income,存款利息,214,214,practicum_reconciled
CF0143,202405,2024-05-18,10,Inflow,interest_income,存款利息,282,282,practicum_reconciled
CF0144,202406,2024-06-18,10,Inflow,interest_income,存款利息,255,255,practicum_reconciled
CF0145,202404,2024-04-18,10,Inflow,sales_receipts,销售回款,1213115,1213115,practicum_reconciled
CF0146,202405,2024-05-18,10,Inflow,sales_receipts,销售回款,1454005,1454005,practicum_reconciled
CF0147,202406,2024-06-18,10,Inflow,sales_receipts,销售回款,1832880,1832880,practicum_reconciled
CF0148,202404,2024-04-18,10,Outflow,productive_fixed_assets,生产性固定资产,747420,-747420,practicum_reconciled
CF0149,202405,2024-05-18,10,Outflow,productive_fixed_assets,生产性固定资产,729508,-729508,practicum_reconciled
CF0150,202406,2024-06-18,10,Outflow,productive_fixed_assets,生产性固定资产,923072,-923072,practicum_reconciled
CF0151,202404,2024-04-18,10,Outflow,raw_material_purchase,原材料采购,463117,-463117,practicum_reconciled
CF0152,202405,2024-05-18,10,Outflow,raw_material_purchase,原材料采购,546363,-546363,practicum_reconciled
CF0153,202406,2024-06-18,10,Outflow,raw_material_purchase,原材料采购,790520,-790520,practicum_reconciled
CF0154,202404,2024-04-18,10,Outflow,logistics,物流运输,6138,-6138,practicum_reconciled
CF0155,202405,2024-05-18,10,Outflow,logistics,物流运输,8398,-8398,practicum_reconciled
CF0156,202406,2024-06-18,10,Outflow,logistics,物流运输,9964,-9964,practicum_reconciled
CF0157,202407,2024-07-18,11,Inflow,interest_income,存款利息,1144,1144,practicum_reconciled
CF0158,202408,2024-08-18,11,Inflow,interest_income,存款利息,2000,2000,practicum_reconciled
CF0159,202409,2024-09-18,11,Inflow,interest_income,存款利息,2027,2027,practicum_reconciled
CF0160,202407,2024-07-18,11,Inflow,sales_receipts,销售回款,1266745,1266745,practicum_reconciled
CF0161,202408,2024-08-18,11,Inflow,sales_receipts,销售回款,1372126,1372126,practicum_reconciled
CF0162,202409,2024-09-18,11,Inflow,sales_receipts,销售回款,1648629,1648629,practicum_reconciled
CF0163,202407,2024-07-18,11,Outflow,labor_cost,人员成本,6893,-6893,practicum_reconciled
CF0164,202408,2024-08-18,11,Outflow,labor_cost,人员成本,9298,-9298,practicum_reconciled
CF0165,202409,2024-09-18,11,Outflow,labor_cost,人员成本,9809,-9809,practicum_reconciled
CF0166,202407,2024-07-18,11,Outflow,logistics,物流运输,3976,-3976,practicum_reconciled
CF0167,202408,2024-08-18,11,Outflow,logistics,物流运输,4287,-4287,practicum_reconciled
CF0168,202409,2024-09-18,11,Outflow,logistics,物流运输,5237,-5237,practicum_reconciled
CF0169,202407,2024-07-18,11,Outflow,loan_principal_repayment,偿还贷款本金,474605,-474605,practicum_reconciled
CF0170,202408,2024-08-18,11,Outflow,loan_principal_repayment,偿还贷款本金,666864,-666864,practicum_reconciled
CF0171,202409,2024-09-18,11,Outflow,loan_principal_repayment,偿还贷款本金,858531,-858531,practicum_reconciled
CF0172,202407,2024-07-18,11,Outflow,raw_material_purchase,原材料采购,599288,-599288,practicum_reconciled
CF0173,202408,2024-08-18,11,Outflow,raw_material_purchase,原材料采购,874629,-874629,practicum_reconciled
CF0174,202409,2024-09-18,11,Outflow,raw_material_purchase,原材料采购,926083,-926083,practicum_reconciled
CF0175,202407,2024-07-18,11,Outflow,loan_interest_penalty,贷款利息及罚金,21113,-21113,practicum_reconciled
CF0176,202408,2024-08-18,11,Outflow,loan_interest_penalty,贷款利息及罚金,25700,-25700,practicum_reconciled
CF0177,202409,2024-09-18,11,Outflow,loan_interest_penalty,贷款利息及罚金,29187,-29187,practicum_reconciled
CF0178,202410,2024-10-18,12,Inflow,interest_income,存款利息,494,494,practicum_reconciled
CF0179,202411,2024-11-18,12,Inflow,interest_income,存款利息,479,479,practicum_reconciled
CF0180,202412,2024-12-18,12,Inflow,interest_income,存款利息,632,632,practicum_reconciled
CF0181,202410,2024-10-18,12,Inflow,sales_receipts,销售回款,1059989,1059989,practicum_reconciled
CF0182,202411,2024-11-18,12,Inflow,sales_receipts,销售回款,1140225,1140225,practicum_reconciled
CF0183,202412,2024-12-18,12,Inflow,sales_receipts,销售回款,1474786,1474786,practicum_reconciled
CF0184,202410,2024-10-18,12,Outflow,productive_fixed_assets,生产性固定资产,184286,-184286,practicum_reconciled
CF0185,202411,2024-11-18,12,Outflow,productive_fixed_assets,生产性固定资产,183911,-183911,practicum_reconciled
CF0186,202412,2024-12-18,12,Outflow,productive_fixed_assets,生产性固定资产,231803,-231803,practicum_reconciled
CF0187,202410,2024-10-18,12,Outflow,labor_cost,人员成本,21720,-21720,practicum_reconciled
CF0188,202411,2024-11-18,12,Outflow,labor_cost,人员成本,27833,-27833,practicum_reconciled
CF0189,202412,2024-12-18,12,Outflow,labor_cost,人员成本,30447,-30447,practicum_reconciled
CF0190,202410,2024-10-18,12,Outflow,raw_material_purchase,原材料采购,716120,-716120,practicum_reconciled
CF0191,202411,2024-11-18,12,Outflow,raw_material_purchase,原材料采购,747921,-747921,practicum_reconciled
CF0192,202412,2024-12-18,12,Outflow,raw_material_purchase,原材料采购,935959,-935959,practicum_reconciled
CF0193,202410,2024-10-18,12,Outflow,loan_interest_penalty,贷款利息及罚金,81575,-81575,practicum_reconciled
CF0194,202411,2024-11-18,12,Outflow,loan_interest_penalty,贷款利息及罚金,111793,-111793,practicum_reconciled
CF0195,202412,2024-12-18,12,Outflow,loan_interest_penalty,贷款利息及罚金,136632,-136632,practicum_reconciled
CF0196,202410,2024-10-18,12,Outflow,logistics,物流运输,8110,-8110,practicum_reconciled
CF0197,202411,2024-11-18,12,Outflow,logistics,物流运输,8264,-8264,practicum_reconciled
CF0198,202412,2024-12-18,12,Outflow,logistics,物流运输,12876,-12876,practicum_reconciled
CF0199,202501,2025-01-18,13,Inflow,interest_income,存款利息,1699,1699,practicum_reconciled
CF0200,202502,2025-02-18,13,Inflow,interest_income,存款利息,1609,1609,practicum_reconciled
CF0201,202503,2025-03-18,13,Inflow,interest_income,存款利息,2095,2095,practicum_reconciled
CF0202,202501,2025-01-18,13,Inflow,sales_receipts,销售回款,1547692,1547692,practicum_reconciled
CF0203,202502,2025-02-18,13,Inflow,sales_receipts,销售回款,1791381,1791381,practicum_reconciled
CF0204,202503,2025-03-18,13,Inflow,sales_receipts,销售回款,2173427,2173427,practicum_reconciled
CF0205,202501,2025-01-18,13,Outflow,productive_fixed_assets,生产性固定资产,112784,-112784,practicum_reconciled
CF0206,202502,2025-02-18,13,Outflow,productive_fixed_assets,生产性固定资产,143849,-143849,practicum_reconciled
CF0207,202503,2025-03-18,13,Outflow,productive_fixed_assets,生产性固定资产,148767,-148767,practicum_reconciled
CF0208,202501,2025-01-18,13,Outflow,raw_material_warehouse,原材料仓储,1094,-1094,practicum_reconciled
CF0209,202502,2025-02-18,13,Outflow,raw_material_warehouse,原材料仓储,1412,-1412,practicum_reconciled
CF0210,202503,2025-03-18,13,Outflow,raw_material_warehouse,原材料仓储,1494,-1494,practicum_reconciled
CF0211,202501,2025-01-18,13,Outflow,raw_material_purchase,原材料采购,819059,-819059,practicum_reconciled
CF0212,202502,2025-02-18,13,Outflow,raw_material_purchase,原材料采购,1024627,-1024627,practicum_reconciled
CF0213,202503,2025-03-18,13,Outflow,raw_material_purchase,原材料采购,1036314,-1036314,practicum_reconciled
CF0214,202501,2025-01-18,13,Outflow,logistics,物流运输,9851,-9851,practicum_reconciled
CF0215,202502,2025-02-18,13,Outflow,logistics,物流运输,11746,-11746,practicum_reconciled
CF0216,202503,2025-03-18,13,Outflow,logistics,物流运输,17403,-17403,practicum_reconciled
CF0217,202501,2025-01-18,13,Outflow,loan_interest_penalty,贷款利息及罚金,358101,-358101,practicum_reconciled
CF0218,202502,2025-02-18,13,Outflow,loan_interest_penalty,贷款利息及罚金,350746,-350746,practicum_reconciled
CF0219,202503,2025-03-18,13,Outflow,loan_interest_penalty,贷款利息及罚金,527153,-527153,practicum_reconciled
CF0220,202501,2025-01-18,13,Outflow,labor_cost,人员成本,296113,-296113,practicum_reconciled
CF0221,202502,2025-02-18,13,Outflow,labor_cost,人员成本,471304,-471304,practicum_reconciled
CF0222,202503,2025-03-18,13,Outflow,labor_cost,人员成本,520583,-520583,practicum_reconciled
CF0223,202504,2025-04-18,14,Inflow,interest_income,存款利息,15,15,practicum_reconciled
CF0224,202505,2025-05-18,14,Inflow,interest_income,存款利息,16,16,practicum_reconciled
CF0225,202506,2025-06-18,14,Inflow,interest_income,存款利息,20,20,practicum_reconciled
CF0226,202504,2025-04-18,14,Inflow,sales_receipts,销售回款,2382019,2382019,practicum_reconciled
CF0227,202505,2025-05-18,14,Inflow,sales_receipts,销售回款,2161941,2161941,practicum_reconciled
CF0228,202506,2025-06-18,14,Inflow,sales_receipts,销售回款,2806040,2806040,practicum_reconciled
CF0229,202504,2025-04-18,14,Outflow,loan_principal_repayment,偿还贷款本金,1596992,-1596992,practicum_reconciled
CF0230,202505,2025-05-18,14,Outflow,loan_principal_repayment,偿还贷款本金,1667360,-1667360,practicum_reconciled
CF0231,202506,2025-06-18,14,Outflow,loan_principal_repayment,偿还贷款本金,1735648,-1735648,practicum_reconciled
CF0232,202504,2025-04-18,14,Outflow,loan_interest_penalty,贷款利息及罚金,58965,-58965,practicum_reconciled
CF0233,202505,2025-05-18,14,Outflow,loan_interest_penalty,贷款利息及罚金,62596,-62596,practicum_reconciled
CF0234,202506,2025-06-18,14,Outflow,loan_interest_penalty,贷款利息及罚金,78439,-78439,practicum_reconciled
CF0235,202504,2025-04-18,14,Outflow,raw_material_purchase,原材料采购,527941,-527941,practicum_reconciled
CF0236,202505,2025-05-18,14,Outflow,raw_material_purchase,原材料采购,607812,-607812,practicum_reconciled
CF0237,202506,2025-06-18,14,Outflow,raw_material_purchase,原材料采购,664247,-664247,practicum_reconciled
